what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1720163023477
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1720163023477
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1720163023478
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1720163023478
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1720163023479
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1720163023479
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1720163023479
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1720163023479
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1720163023480
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1720163023480
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1720163023481
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1720163023481
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1720163023482
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1720163023482
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1720163023482
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1720163023483
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1720163023484
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1720163023484
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1720163023484
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1720163023485
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1720163023485
os,sysinfo,,,"win32",1720163023487
arch,sysinfo,,,"x86",1720163023487
ws,sysinfo,,,"win32",1720163023487
locale,sysinfo,,,"pt_BR",1720163023487
processors,sysinfo,,,"12",1720163023487
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1720163023487
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1720163023487
java.specification.name,sysinfo,,,"Java Platform API Specification",1720163023487
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1720163023487
java.specification.version,sysinfo,,,"1.6",1720163023487
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1720163023487
java.version,sysinfo,,,"1.6.0_23",1720163023487
java.vm.info,sysinfo,,,"mixed mode",1720163023487
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1720163023487
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1720163023487
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1720163023487
java.vm.specification.version,sysinfo,,,"1.0",1720163023487
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1720163023487
java.vm.version,sysinfo,,,"19.0-b09",1720163023487
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1720163023715
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1720163057520
started,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1720163059679
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1720163059695
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1720163060024
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1720163060090
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1720163060094
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1720163060095
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1720163060096
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720163060441
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720163097676
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1720163099411
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1720163104721
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1720163105261
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1720163106295
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1720163119042
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1720163119149
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1720163120693
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1720163121026
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1720163121625
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1720163122783
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1720163123696
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720163125693
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720163126115
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720163144236
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720163144836
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1720163145610
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1720163145613
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720163149195
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720163152979
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720163158958
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720163160915
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1720163167069
started,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1720163171322
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720163171875
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720163172041
